"cust","prod","day","month","year","state","quant","date","credit"
"Claire","Apple",13,11,2020,"CT",240,"2020-11-13",True
"Sam","Jelly",1,5,2017,"NY",453,"2017-05-01",True
"Boo","Apple",12,8,2020,"PA",449,"2020-08-12",False
"Chae","Eggs",8,3,2020,"NY",372,"2020-03-08",False
"Claire","Jelly",29,9,2018,"NJ",777,"2018-09-29",False
"Sam","Cherry",28,6,2019,"NY",284,"2019-06-28",False
"Dan","Ice",3,7,2016,"NJ",365,"2016-07-03",True
"Boo","Cherry",8,9,2020,"CT",2,"2020-09-08",False
"Emily","Dates",2,8,2017,"NY",842,"2017-08-02",True
"Claire","Dates",4,2,2019,"CT",127,"2019-02-04",True
"Helen","Eggs",12,11,2019,"NJ",827,"2019-11-12",False
"Chae","Butter",9,2,2016,"CT",943,"2016-02-09",False
"Dan","Ice",18,12,2019,"PA",708,"2019-12-18",True
"Helen","Butter",8,10,2018,"CT",12,"2018-10-08",True
"Chae","Butter",26,3,2018,"CT",599,"2018-03-26",False
"Dan","Ham",5,8,2017,"PA",231,"2017-08-05",False
"Claire","Dates",15,3,2020,"NY",539,"2020-03-15",False
"Wally","Fish",22,3,2017,"PA",545,"2017-03-22",True
"Mia","Butter",6,7,2018,"NJ",477,"2018-07-06",True
"Chae","Ham",29,7,2020,"NY",329,"2020-07-29",False
"Dan","Apple",14,5,2016,"CT",380,"2016-05-14",True
"Dan","Butter",1,6,2018,"NY",540,"2018-06-01",False
"Boo","Apple",24,2,2018,"NY",692,"2018-02-24",True
"Mia","Jelly",14,8,2018,"CT",924,"2018-08-14",False
"Mia","Dates",13,5,2019,"NY",810,"2019-05-13",False
"Sam","Jelly",11,12,2020,"CT",395,"2020-12-11",True
"Boo","Dates",30,9,2020,"NY",403,"2020-09-30",False
"Dan","Ham",22,6,2018,"PA",890,"2018-06-22",False
"Dan","Fish",12,10,2020,"CT",986,"2020-10-12",False
"Chae","Ice",28,7,2017,"CT",447,"2017-07-28",False
"Emily","Ham",1,4,2017,"NJ",200,"2017-04-01",True
"Helen","Grapes",17,1,2019,"NY",205,"2019-01-17",True
"Sam","Eggs",18,7,2019,"NJ",276,"2019-07-18",False
"Chae","Grapes",28,9,2018,"NY",52,"2018-09-28",True
"Wally","Ham",28,1,2017,"CT",322,"2017-01-28",True
"Dan","Butter",11,8,2019,"NY",491,"2019-08-11",True
"Sam","Ham",1,8,2018,"PA",834,"2018-08-01",False
"Chae","Grapes",31,12,2018,"NJ",771,"2018-12-31",False
"Helen","Jelly",2,1,2017,"NY",783,"2017-01-02",True
"Emily","Cherry",25,1,2017,"NJ",560,"2017-01-25",False
"Mia","Ice",17,9,2019,"PA",642,"2019-09-17",True
"Claire","Grapes",3,2,2017,"PA",288,"2017-02-03",False
"Claire","Apple",17,11,2019,"NJ",314,"2019-11-17",False
"Emily","Eggs",19,2,2016,"PA",233,"2016-02-19",False
"Sam","Jelly",8,8,2019,"NY",145,"2019-08-08",True
"Wally","Grapes",16,3,2019,"CT",157,"2019-03-16",True
"Boo","Eggs",18,11,2017,"NJ",410,"2017-11-18",True
"Boo","Apple",28,9,2020,"NY",142,"2020-09-28",True
"Sam","Grapes",24,10,2016,"CT",535,"2016-10-24",True
"Emily","Ham",2,10,2017,"CT",895,"2017-10-02",True
"Wally","Fish",13,2,2018,"NJ",153,"2018-02-13",False
"Chae","Fish",27,7,2020,"PA",624,"2020-07-27",False
"Claire","Butter",8,3,2016,"NY",938,"2016-03-08",False
"Wally","Jelly",6,3,2017,"NJ",695,"2017-03-06",False
"Claire","Fish",18,2,2018,"NY",636,"2018-02-18",True
"Sam","Dates",29,4,2020,"NJ",726,"2020-04-29",True
"Boo","Apple",14,4,2019,"NY",879,"2019-04-14",False
"Emily","Ham",27,10,2017,"NJ",152,"2017-10-27",False
"Emily","Dates",17,5,2019,"PA",481,"2019-05-17",True
"Mia","Eggs",15,5,2017,"NJ",81,"2017-05-15",False
"Wally","Eggs",14,9,2018,"NY",744,"2018-09-14",True
"Wally","Ham",22,5,2016,"CT",156,"2016-05-22",False
"Dan","Grapes",6,6,2018,"PA",615,"2018-06-06",False
"Claire","Cherry",14,4,2018,"CT",6,"2018-04-14",False
"Helen","Dates",8,8,2017,"NY",648,"2017-08-08",True
"Emily","Fish",16,8,2017,"NY",190,"2017-08-16",True
"Wally","Ice",11,5,2020,"NY",141,"2020-05-11",True
"Boo","Dates",7,12,2019,"NJ",794,"2019-12-07",False
"Claire","Dates",8,12,2016,"NY",5,"2016-12-08",True
"Wally","Eggs",19,5,2017,"PA",658,"2017-05-19",False
"Claire","Eggs",18,9,2019,"CT",75,"2019-09-18",False
"Emily","Eggs",25,1,2016,"NY",464,"2016-01-25",False
"Dan","Ice",9,5,2019,"NJ",491,"2019-05-09",False
"Emily","Eggs",4,10,2018,"PA",550,"2018-10-04",True
"Mia","Butter",28,4,2017,"CT",759,"2017-04-28",True
"Claire","Ham",3,10,2019,"CT",949,"2019-10-03",False
"Helen","Eggs",27,12,2020,"CT",268,"2020-12-27",False
"Emily","Fish",31,5,2019,"PA",71,"2019-05-31",False
"Dan","Fish",29,12,2019,"PA",77,"2019-12-29",False
"Chae","Butter",31,5,2018,"NJ",565,"2018-05-31",True
"Claire","Apple",12,4,2016,"NJ",776,"2016-04-12",True
"Boo","Jelly",14,12,2019,"NJ",896,"2019-12-14",True
"Sam","Cherry",13,11,2019,"CT",909,"2019-11-13",False
"Sam","Cherry",11,3,2018,"PA",800,"2018-03-11",True
"Emily","Dates",25,3,2020,"NY",187,"2020-03-25",False
"Emily","Ham",23,2,2018,"NJ",495,"2018-02-23",False
"Boo","Grapes",30,4,2019,"CT",998,"2019-04-30",True
"Wally","Cherry",23,12,2016,"PA",828,"2016-12-23",True
"Boo","Eggs",9,9,2018,"NJ",609,"2018-09-09",False
"Mia","Ham",22,6,2017,"NY",894,"2017-06-22",True
"Chae","Apple",14,6,2019,"NY",900,"2019-06-14",False
"Boo","Ice",23,9,2019,"PA",977,"2019-09-23",True
"Emily","Eggs",23,11,2016,"NJ",957,"2016-11-23",False
"Sam","Ham",26,1,2017,"NY",517,"2017-01-26",True
"Mia","Grapes",2,9,2017,"NY",72,"2017-09-02",True
"Mia","Cherry",26,11,2020,"NJ",627,"2020-11-26",False
"Boo","Apple",10,12,2017,"NY",575,"2017-12-10",True
"Boo","Jelly",20,2,2018,"NY",498,"2018-02-20",False
"Dan","Ham",19,1,2016,"NJ",893,"2016-01-19",True
"Claire","Dates",7,5,2017,"NJ",779,"2017-05-07",True
"Dan","Ham",3,2,2019,"PA",515,"2019-02-03",True
"Mia","Jelly",4,5,2017,"NY",519,"2017-05-04",True
"Mia","Jelly",7,12,2019,"PA",371,"2019-12-07",False
"Claire","Grapes",29,3,2018,"CT",654,"2018-03-29",False
"Emily","Ham",20,6,2019,"CT",339,"2019-06-20",True
"Wally","Jelly",18,2,2017,"PA",689,"2017-02-18",False
"Mia","Eggs",30,1,2018,"CT",431,"2018-01-30",False
"Wally","Apple",30,9,2020,"NY",130,"2020-09-30",False
"Chae","Dates",9,3,2019,"PA",488,"2019-03-09",True
"Boo","Apple",6,3,2020,"CT",849,"2020-03-06",False
"Claire","Eggs",13,8,2018,"PA",719,"2018-08-13",False
"Mia","Grapes",8,11,2018,"NY",595,"2018-11-08",False
"Helen","Ice",25,2,2020,"CT",165,"2020-02-25",False
"Claire","Butter",2,9,2016,"CT",727,"2016-09-02",False
"Dan","Cherry",30,1,2017,"NJ",923,"2017-01-30",False
"Chae","Eggs",7,1,2019,"NY",691,"2019-01-07",False
"Helen","Grapes",4,9,2019,"PA",746,"2019-09-04",False
"Chae","Dates",20,10,2017,"NJ",829,"2017-10-20",False
"Wally","Fish",30,8,2016,"PA",307,"2016-08-30",True
"Wally","Cherry",19,1,2017,"NY",145,"2017-01-19",False
"Sam","Jelly",24,11,2016,"PA",255,"2016-11-24",True
"Helen","Grapes",9,9,2020,"CT",88,"2020-09-09",True
"Chae","Butter",22,9,2016,"NJ",474,"2016-09-22",False
"Helen","Jelly",9,5,2017,"NY",976,"2017-05-09",False
"Emily","Jelly",11,11,2018,"PA",592,"2018-11-11",True
"Mia","Dates",2,5,2016,"NJ",510,"2016-05-02",True
"Sam","Dates",24,12,2018,"CT",532,"2018-12-24",True
"Dan","Ice",15,8,2016,"NY",340,"2016-08-15",True
"Claire","Butter",15,2,2016,"CT",338,"2016-02-15",False
"Boo","Dates",6,3,2016,"PA",962,"2016-03-06",False
"Helen","Dates",10,2,2020,"CT",12,"2020-02-10",False
"Emily","Ice",28,4,2018,"NJ",858,"2018-04-28",True
"Chae","Eggs",2,8,2016,"PA",432,"2016-08-02",False
"Claire","Fish",18,7,2016,"NY",849,"2016-07-18",False
"Wally","Cherry",12,12,2017,"CT",53,"2017-12-12",True
"Wally","Grapes",24,6,2016,"CT",524,"2016-06-24",False
"Dan","Eggs",2,12,2017,"PA",851,"2017-12-02",True
"Claire","Butter",16,5,2020,"CT",33,"2020-05-16",True
"Wally","Butter",29,7,2020,"CT",824,"2020-07-29",True
"Sam","Ice",19,12,2017,"NY",898,"2017-12-19",False
"Dan","Ham",7,3,2016,"PA",911,"2016-03-07",True
"Dan","Cherry",13,11,2018,"NY",159,"2018-11-13",False
"Dan","Eggs",15,9,2018,"NJ",911,"2018-09-15",False
"Mia","Jelly",9,2,2017,"PA",284,"2017-02-09",True
"Wally","Butter",25,9,2016,"CT",593,"2016-09-25",True
"Chae","Fish",9,8,2019,"NY",762,"2019-08-09",True
"Wally","Ham",19,5,2019,"PA",882,"2019-05-19",False
"Mia","Eggs",1,4,2020,"NY",881,"2020-04-01",False
"Chae","Eggs",15,10,2017,"CT",595,"2017-10-15",False
"Dan","Ham",20,9,2018,"NY",104,"2018-09-20",True
"Mia","Apple",25,3,2018,"PA",779,"2018-03-25",False
"Mia","Grapes",15,3,2016,"NY",258,"2016-03-15",False
"Chae","Cherry",7,1,2020,"CT",596,"2020-01-07",True
"Wally","Fish",9,10,2018,"PA",637,"2018-10-09",False
"Chae","Ham",11,7,2016,"NJ",31,"2016-07-11",True
"Dan","Ham",22,11,2016,"NJ",946,"2016-11-22",False
"Helen","Butter",3,8,2019,"NJ",614,"2019-08-03",True
"Dan","Jelly",9,6,2017,"NJ",422,"2017-06-09",False
"Dan","Grapes",9,11,2017,"CT",557,"2017-11-09",True
"Claire","Ham",11,5,2019,"NY",349,"2019-05-11",False
"Helen","Butter",31,10,2017,"NY",832,"2017-10-31",True
"Mia","Fish",3,12,2016,"CT",258,"2016-12-03",False
"Sam","Grapes",10,12,2020,"CT",225,"2020-12-10",True
"Chae","Fish",24,9,2017,"NJ",184,"2017-09-24",False
"Boo","Ice",27,4,2020,"CT",348,"2020-04-27",False
"Claire","Eggs",27,11,2016,"NJ",20,"2016-11-27",False
"Emily","Grapes",18,2,2018,"NY",818,"2018-02-18",True
"Helen","Grapes",21,9,2019,"CT",113,"2019-09-21",False
"Boo","Jelly",12,1,2018,"NY",741,"2018-01-12",True
"Boo","Butter",15,2,2016,"NY",724,"2016-02-15",False
"Boo","Jelly",22,11,2017,"CT",98,"2017-11-22",True
"Mia","Apple",29,4,2016,"NY",609,"2016-04-29",False
"Claire","Ice",29,8,2020,"CT",606,"2020-08-29",False
"Boo","Cherry",19,3,2018,"NJ",816,"2018-03-19",False
"Sam","Fish",20,11,2020,"PA",899,"2020-11-20",False
"Dan","Apple",28,12,2018,"CT",840,"2018-12-28",True
"Helen","Dates",6,11,2017,"NY",950,"2017-11-06",False
"Emily","Butter",11,12,2016,"NY",927,"2016-12-11",False
"Claire","Fish",12,10,2020,"NJ",913,"2020-10-12",True
"Dan","Cherry",2,1,2016,"NJ",271,"2016-01-02",False
"Wally","Eggs",18,8,2020,"PA",212,"2020-08-18",False
"Chae","Jelly",16,10,2018,"NY",330,"2018-10-16",False
"Mia","Jelly",13,1,2020,"NY",903,"2020-01-13",True
"Claire","Fish",26,5,2018,"NJ",330,"2018-05-26",False
"Dan","Dates",14,9,2019,"PA",451,"2019-09-14",True
"Boo","Cherry",8,8,2020,"PA",123,"2020-08-08",False
"Mia","Grapes",20,3,2017,"CT",735,"2017-03-20",True
"Chae","Ham",11,9,2016,"CT",692,"2016-09-11",False
"Dan","Apple",7,11,2016,"PA",403,"2016-11-07",False
"Helen","Eggs",19,10,2018,"CT",308,"2018-10-19",True
"Dan","Ham",5,1,2016,"CT",729,"2016-01-05",False
"Helen","Fish",18,2,2017,"PA",345,"2017-02-18",False
"Mia","Apple",31,5,2017,"CT",90,"2017-05-31",False
"Chae","Dates",28,3,2018,"CT",957,"2018-03-28",True
"Wally","Grapes",17,3,2017,"NJ",984,"2017-03-17",True
"Helen","Ham",12,1,2017,"PA",296,"2017-01-12",True
"Dan","Cherry",26,3,2018,"CT",835,"2018-03-26",True
"Helen","Cherry",3,7,2019,"CT",659,"2019-07-03",False
"Boo","Dates",19,6,2018,"NJ",631,"2018-06-19",False
"Emily","Butter",27,1,2018,"NJ",471,"2018-01-27",True
"Helen","Ham",24,1,2018,"NY",128,"2018-01-24",True
"Helen","Jelly",15,8,2017,"PA",943,"2017-08-15",True
"Helen","Ice",5,10,2019,"CT",183,"2019-10-05",True
"Mia","Fish",16,10,2016,"CT",916,"2016-10-16",False
"Chae","Ham",8,6,2016,"CT",960,"2016-06-08",False
"Helen","Jelly",16,12,2019,"CT",77,"2019-12-16",True
"Boo","Butter",23,11,2017,"NJ",959,"2017-11-23",True
"Helen","Ham",12,3,2017,"CT",487,"2017-03-12",True
"Wally","Jelly",3,10,2019,"NY",734,"2019-10-03",False
"Wally","Eggs",27,12,2020,"PA",982,"2020-12-27",False
"Sam","Apple",21,12,2019,"CT",467,"2019-12-21",False
"Sam","Cherry",29,11,2019,"PA",514,"2019-11-29",False
"Helen","Fish",15,6,2016,"CT",971,"2016-06-15",False
"Sam","Eggs",30,4,2019,"PA",485,"2019-04-30",False
"Chae","Apple",24,11,2016,"NY",981,"2016-11-24",False
"Emily","Grapes",27,3,2019,"CT",253,"2019-03-27",False
"Wally","Ham",16,9,2017,"CT",898,"2017-09-16",True
"Chae","Ice",25,8,2018,"CT",324,"2018-08-25",False
"Emily","Jelly",8,8,2017,"NJ",600,"2017-08-08",True
"Wally","Ham",26,7,2019,"CT",441,"2019-07-26",False
"Wally","Dates",28,5,2018,"NY",587,"2018-05-28",True
"Chae","Butter",29,7,2018,"PA",456,"2018-07-29",False
"Chae","Eggs",3,7,2017,"NY",774,"2017-07-03",True
"Chae","Jelly",18,3,2018,"PA",298,"2018-03-18",True
"Claire","Eggs",11,2,2017,"PA",353,"2017-02-11",False
"Dan","Dates",7,9,2018,"PA",487,"2018-09-07",True
"Wally","Cherry",3,9,2020,"NY",430,"2020-09-03",False
"Wally","Ice",31,5,2019,"CT",318,"2019-05-31",True
"Helen","Apple",26,8,2020,"NJ",967,"2020-08-26",True
"Sam","Jelly",14,2,2019,"NY",19,"2019-02-14",True
"Wally","Dates",12,5,2018,"NJ",834,"2018-05-12",False
"Boo","Grapes",10,9,2018,"CT",412,"2018-09-10",False
"Chae","Ice",23,7,2018,"NY",102,"2018-07-23",True
"Dan","Apple",15,4,2019,"NY",580,"2019-04-15",True
"Helen","Cherry",5,9,2019,"NY",546,"2019-09-05",False
"Helen","Cherry",1,6,2016,"NJ",218,"2016-06-01",True
"Mia","Grapes",28,3,2020,"CT",550,"2020-03-28",True
"Mia","Fish",24,3,2018,"NY",547,"2018-03-24",True
"Emily","Butter",7,12,2018,"PA",156,"2018-12-07",False
"Boo","Cherry",14,2,2019,"NJ",748,"2019-02-14",True
"Chae","Ice",14,12,2016,"CT",904,"2016-12-14",True
"Dan","Apple",7,9,2018,"CT",228,"2018-09-07",True
"Mia","Butter",24,1,2019,"NY",370,"2019-01-24",False
"Wally","Jelly",4,4,2020,"CT",803,"2020-04-04",True
"Wally","Dates",1,10,2018,"NY",617,"2018-10-01",True
"Dan","Ham",13,7,2020,"PA",389,"2020-07-13",False
"Claire","Butter",31,7,2016,"PA",992,"2016-07-31",False
"Chae","Ham",23,11,2017,"NY",521,"2017-11-23",True
"Wally","Eggs",21,3,2016,"CT",809,"2016-03-21",True
"Helen","Grapes",13,10,2016,"CT",841,"2016-10-13",True
"Helen","Apple",30,6,2019,"CT",713,"2019-06-30",True
"Emily","Butter",12,5,2018,"NJ",259,"2018-05-12",True
"Helen","Fish",29,11,2016,"NJ",699,"2016-11-29",False
"Chae","Dates",9,12,2017,"NY",747,"2017-12-09",True
"Claire","Grapes",19,5,2017,"NJ",738,"2017-05-19",True
"Claire","Ice",5,8,2019,"PA",400,"2019-08-05",True
"Chae","Eggs",21,5,2018,"NJ",343,"2018-05-21",False
"Dan","Eggs",10,9,2020,"NY",792,"2020-09-10",True
"Boo","Ham",24,6,2019,"CT",676,"2019-06-24",False
"Mia","Ice",20,9,2018,"NJ",684,"2018-09-20",True
"Helen","Butter",4,4,2018,"CT",952,"2018-04-04",False
"Sam","Cherry",17,5,2017,"NJ",201,"2017-05-17",True
"Helen","Jelly",30,1,2016,"NY",247,"2016-01-30",True
"Helen","Grapes",30,12,2019,"NY",422,"2019-12-30",False
"Boo","Ham",13,1,2020,"NJ",382,"2020-01-13",True
"Chae","Apple",25,8,2020,"CT",126,"2020-08-25",False
"Mia","Jelly",10,9,2018,"PA",969,"2018-09-10",True
"Claire","Grapes",6,11,2019,"PA",595,"2019-11-06",True
"Mia","Eggs",10,9,2019,"NY",874,"2019-09-10",False
"Dan","Grapes",28,8,2017,"NY",621,"2017-08-28",False
"Claire","Cherry",14,5,2019,"CT",733,"2019-05-14",True
"Claire","Grapes",17,4,2017,"PA",521,"2017-04-17",False
"Mia","Jelly",15,7,2019,"PA",528,"2019-07-15",True
"Boo","Ice",27,11,2017,"NJ",744,"2017-11-27",False
"Helen","Eggs",3,8,2017,"NY",845,"2017-08-03",False
"Boo","Cherry",31,10,2019,"PA",580,"2019-10-31",False
"Sam","Eggs",21,9,2017,"CT",258,"2017-09-21",False
"Chae","Cherry",12,10,2018,"PA",655,"2018-10-12",True
"Boo","Butter",14,1,2017,"PA",983,"2017-01-14",False
"Helen","Butter",24,6,2016,"CT",418,"2016-06-24",False
"Helen","Jelly",20,11,2020,"NY",397,"2020-11-20",False
"Boo","Grapes",20,1,2020,"NY",550,"2020-01-20",False
"Boo","Eggs",6,7,2020,"NY",307,"2020-07-06",False
"Boo","Ice",23,5,2017,"NJ",880,"2017-05-23",False
"Mia","Ham",13,3,2019,"CT",54,"2019-03-13",True
"Mia","Ham",24,8,2019,"NJ",902,"2019-08-24",False
"Emily","Butter",15,5,2020,"NY",448,"2020-05-15",True
"Wally","Butter",28,6,2019,"NY",974,"2019-06-28",True
"Sam","Dates",30,12,2019,"PA",698,"2019-12-30",False
"Sam","Apple",21,2,2016,"PA",957,"2016-02-21",True
"Claire","Ice",17,12,2016,"PA",228,"2016-12-17",True
